instance,max_time,max_it,alpha,runtime,mvc_size
brock200_1,120000,30,0.3,123863,183
brock200_2,120000,30,0.3,92076,192
brock200_3,120000,30,0.3,103807,189
brock200_4,120000,30,0.3,107953,188
brock400_1,120000,30,0.3,131745,384
brock400_2,120000,30,0.3,135235,384
brock400_3,120000,30,0.3,127366,383
brock400_4,120000,30,0.3,130880,384
brock800_1,120000,30,0.3,142880,790
brock800_2,120000,30,0.3,211958,788
brock800_3,120000,30,0.3,179431,788
brock800_4,120000,30,0.3,130876,789
c-fat200-1,120000,30,0.3,80992,194
c-fat200-2,120000,30,0.3,76378,190
c-fat200-5,120000,30,0.3,41177,190
c-fat500-1,120000,30,0.3,139526,497
c-fat500-10,120000,30,0.3,131060,491
c-fat500-2,120000,30,0.3,140941,495
c-fat500-5,120000,30,0.3,132650,493
C1000.9,120000,30,0.3,138030,960
C125.9,120000,30,0.3,15794,99
C2000.5,120000,30,0.3,378359,1994
C2000.9,120000,30,0.3,500964,1959
C250.9,120000,30,0.3,123463,213
C4000.5,120000,30,0.3,2959124,3993
C500.9,120000,30,0.3,121559,460
gen200_p0.9_44,120000,30,0.3,55149,170
gen200_p0.9_55,120000,30,0.3,48067,168
gen400_p0.9_55,120000,30,0.3,122138,361
gen400_p0.9_65,120000,30,0.3,130179,360
gen400_p0.9_75,120000,30,0.3,120507,357
hamming10-2,120000,30,0.3,122247,919
hamming10-4,120000,30,0.3,141056,1000
hamming6-2,120000,30,0.3,2932,45
hamming6-4,120000,30,0.3,13338,60
hamming8-2,120000,30,0.3,24114,195
hamming8-4,120000,30,0.3,126699,245
johnson16-2-4,120000,30,0.3,26100,112
johnson32-2-4,120000,30,0.3,122118,480
johnson8-2-4,120000,30,0.3,662,24
johnson8-4-4,120000,30,0.3,11884,60
keller4,120000,30,0.3,112859,162
keller5,120000,30,0.3,126461,760
keller6,120000,30,0.3,1967391,3336
MANN_a27,120000,30,0.3,23609,286
MANN_a45,120000,30,0.3,120747,900
MANN_a81,120000,30,0.3,227257,3192
MANN_a9,120000,30,0.3,697,30
p_hat1000-1,120000,30,0.3,216688,995
p_hat1000-2,120000,30,0.3,142674,980
p_hat1000-3,120000,30,0.3,74863166,970
p_hat1500-1,120000,30,0.3,198618,1496
p_hat1500-2,120000,30,0.3,543954,1468
p_hat1500-3,120000,30,0.3,275830,1462
p_hat300-1,120000,30,0.3,124079,295
p_hat300-2,120000,30,0.3,142957,280
p_hat300-3,120000,30,0.3,125415,271
p_hat500-1,120000,30,0.3,128703,494
p_hat500-2,120000,30,0.3,133121,484
hamming6-2,120000,30,0.3,2526,45
hamming6-4,120000,30,0.3,19110,60
hamming8-2,120000,30,0.3,23635,194
brock200_1,120000,30,0.3,120538,182
brock200_2,120000,30,0.3,91613,192
brock200_3,120000,30,0.3,102192,190
brock200_4,120000,30,0.3,113215,188
brock400_1,120000,30,0.3,129979,383
brock400_2,120000,30,0.3,124583,383
brock400_3,120000,30,0.3,131733,383
brock400_4,120000,30,0.3,126028,383
brock800_1,120000,30,0.3,163011,788
brock800_2,120000,30,0.3,130492,790
brock800_3,120000,30,0.3,145053,790
brock800_4,120000,30,0.3,147088,788
c-fat200-1,120000,30,0.3,85007,195
c-fat200-2,120000,30,0.3,54373,176
c-fat200-5,120000,30,0.3,42126,142
c-fat500-1,120000,30,0.3,138500,498
c-fat500-10,120000,30,0.3,131423,374
c-fat500-2,120000,30,0.3,124583,495
c-fat500-5,120000,30,0.3,133071,436
C1000.9,120000,30,0.3,167148,961
C125.9,120000,30,0.3,14575,100
C2000.5,120000,30,0.3,476428,1993
C2000.9,120000,30,0.3,439072,1960
C250.9,120000,30,0.3,109683,214
C4000.5,120000,30,0.3,2149400,3994
C500.9,120000,30,0.3,121269,456
gen200_p0.9_44,120000,30,0.3,48874,168
gen200_p0.9_55,120000,30,0.3,51004,166
gen400_p0.9_55,120000,30,0.3,123872,360
gen400_p0.9_65,120000,30,0.3,123289,360
gen400_p0.9_75,120000,30,0.3,122724,360
hamming10-2,120000,30,0.3,121159,913
hamming10-4,120000,30,0.3,147148,1000
hamming6-2,120000,30,0.3,3132,45
hamming6-4,120000,30,0.3,21076,60
hamming8-2,120000,30,0.3,24889,190
hamming8-4,120000,30,0.3,122853,245
johnson16-2-4,120000,30,0.3,34820,112
johnson32-2-4,120000,30,0.3,134595,480
johnson8-2-4,120000,30,0.3,1472,24
johnson8-4-4,120000,30,0.3,13162,60
keller4,120000,30,0.3,129118,161
keller5,120000,30,0.3,158249,760
keller6,120000,30,0.3,1372333,3340
MANN_a27,120000,30,0.3,23662,286
MANN_a45,120000,30,0.3,121756,889
MANN_a81,120000,30,0.3,229480,3172
MANN_a9,120000,30,0.3,863,31
p_hat1000-1,120000,30,0.3,173147,995
p_hat1000-2,120000,30,0.3,193223,982
p_hat1000-3,120000,30,0.3,128640,973
p_hat1500-1,120000,30,0.3,187073,1496
p_hat1500-2,120000,30,0.3,256282,1486
p_hat1500-3,120000,30,0.3,410264,1463
p_hat300-1,120000,30,0.3,130051,295
p_hat300-2,120000,30,0.3,125516,282
p_hat300-3,120000,30,0.3,131565,273
p_hat500-1,120000,30,0.3,155965,495
p_hat500-2,120000,30,0.3,125790,482
p_hat500-3,120000,30,0.3,140858,465
p_hat700-1,120000,30,0.3,135631,695
p_hat700-2,120000,30,0.3,174519,675
p_hat700-3,120000,30,0.3,185167,659
san1000,120000,30,0.3,266562,992
san200_0.7_1,120000,30,0.3,124650,184
san200_0.7_2,120000,30,0.3,120548,187
san200_0.9_1,120000,30,0.3,32797,157
san200_0.9_2,120000,30,0.3,38819,164
san200_0.9_3,120000,30,0.3,49423,171
san400_0.5_1,120000,30,0.3,120887,393
san400_0.7_1,120000,30,0.3,123906,380
san400_0.7_2,120000,30,0.3,141257,385
san400_0.7_3,120000,30,0.3,139658,387
san400_0.9_1,120000,30,0.3,126362,350
sanr200_0.7,120000,30,0.3,130518,184
sanr200_0.9,120000,30,0.3,55943,168
sanr400_0.5,120000,30,0.3,134881,392
sanr400_0.7,120000,30,0.3,128613,387
c-fat500-10,120000,30,0.3,136114,374
c-fat500-2,120000,30,0.3,134162,495
c-fat500-5,120000,30,0.3,129819,436
C1000.9,120000,30,0.3,141534,962
C125.9,120000,30,0.3,12720,100
C2000.5,120000,30,0.3,296042,1995
C2000.9,120000,30,0.3,240478,1964
C250.9,120000,30,0.3,99401,214
C4000.5,120000,30,0.3,1722815,3994
C500.9,120000,30,0.3,135159,459
gen200_p0.9_44,120000,30,0.3,49553,168
gen200_p0.9_55,120000,30,0.3,46037,168
gen400_p0.9_55,120000,30,0.3,125837,360
gen400_p0.9_65,120000,30,0.3,121496,361
gen400_p0.9_75,120000,30,0.3,130728,357
hamming10-2,120000,30,0.3,131425,916
hamming10-4,120000,30,0.3,133307,999
hamming6-2,120000,30,0.3,2262,45
hamming6-4,120000,30,0.3,19635,60
hamming8-2,120000,30,0.3,23433,194
hamming8-4,120000,30,0.3,123397,245
johnson16-2-4,120000,30,0.3,30934,112
johnson32-2-4,120000,30,0.3,130027,480
johnson8-2-4,120000,30,0.3,1480,24
johnson8-4-4,120000,30,0.3,9661,60
keller4,120000,30,0.3,117454,160
keller5,120000,30,0.3,147933,759
keller6,120000,30,0.3,1408691,3340
MANN_a27,120000,30,0.3,23030,289
MANN_a45,120000,30,0.3,125472,901
MANN_a81,120000,30,0.3,225628,3178
MANN_a9,120000,30,0.3,1009,30
p_hat1000-1,120000,30,0.3,202781,994
p_hat1000-2,120000,30,0.3,129369,982
p_hat1000-3,120000,30,0.3,252069,962
p_hat1500-1,120000,30,0.3,229304,1495
c-fat500-10,120000,30,0.3,143065,374
c-fat500-2,120000,30,0.3,150964,496
c-fat500-5,120000,30,0.3,133862,436
C1000.9,120000,30,0.3,203493,964
C125.9,120000,30,0.3,24474,99
C2000.5,120000,30,0.3,766981,1993
C2000.9,120000,30,0.3,495386,1963
C250.9,120000,30,0.3,124334,213
